gender,NationalITy,PlaceofBirth,StageID,StudentID,Topic,raisedhands,VisitedResources,viewingannouncements,Discussionoftests,ParentAnsweringSurvey,Feedback,StudentAbsenceDays,learnvernfeedback
F,KW,KuwaIT,MiddleSchool,G-06,Quran,70,40,2,16,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-04,IT,65,86,62,40,No,Good,Above-7,M
M,KW,KuwaIT,lowerlevel,G-04,Math,15,6,32,40,Yes,Good,Under-7,H
M,Egypt,Egypt,lowerlevel,G-04,English,19,74,32,17,No,Good,Above-7,L
F,KW,KuwaIT,lowerlevel,G-04,Science,69,76,82,94,No,Bad,Under-7,M
M,KW,KuwaIT,lowerlevel,G-04,Arabic,39,26,12,44,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-04,English,59,97,42,70,Yes,Good,Under-7,H
M,KW,KuwaIT,lowerlevel,G-04,History,10,17,12,40,Yes,Good,Under-7,H
F,KW,KuwaIT,lowerlevel,G-04,History,80,87,72,60,No,Good,Under-7,H
F,KW,KuwaIT,lowerlevel,G-04,History,70,99,66,65,No,Good,Under-7,M
F,KW,KuwaIT,lowerlevel,G-04,History,80,97,86,95,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-04,English,69,34,12,17,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-04,History,10,17,12,14,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-04,History,61,97,82,64,Yes,Bad,Above-7,M
F,KW,KuwaIT,lowerlevel,G-04,History,21,27,52,34,Yes,Good,Above-7,M
M,Egypt,Egypt,lowerlevel,G-04,Math,49,94,42,7,No,Bad,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-06,English,70,64,42,32,No,Bad,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-06,English,79,84,82,37,No,Bad,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-06,English,19,80,12,17,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-06,English,11,70,32,29,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-06,English,10,8,10,10,Yes,Bad,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-06,English,18,28,40,20,Yes,Bad,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-06,English,90,84,52,30,No,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-06,English,92,81,32,36,No,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-06,English,42,21,2,16,No,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-06,English,22,20,6,26,No,Bad,Under-7,H
F,lebanon,lebanon,MiddleSchool,G-06,English,95,82,82,70,Yes,Good,Under-7,H
F,lebanon,lebanon,MiddleSchool,G-06,English,90,62,80,60,Yes,Good,Under-7,H
M,Palestine,Jordan,MiddleSchool,G-06,English,72,21,22,26,Yes,Good,Under-7,H
M,Palestine,Jordan,MiddleSchool,G-06,English,92,31,42,27,Yes,Good,Under-7,H
M,Palestine,Jordan,MiddleSchool,G-06,English,82,31,52,25,No,Good,Under-7,M
M,Palestine,Jordan,MiddleSchool,G-06,English,72,41,46,27,No,Good,Under-7,M
M,Iraq,Iraq,MiddleSchool,G-06,English,74,71,56,37,No,Good,Under-7,H
M,Iraq,Iraq,MiddleSchool,G-06,English,74,60,56,37,No,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-06,English,95,94,72,80,No,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-06,English,97,87,82,86,No,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-06,English,40,38,32,36,No,Bad,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-06,English,41,39,35,39,Yes,Bad,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-06,English,51,79,85,89,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-06,English,81,79,91,85,Yes,Good,Under-7,H
M,Palestine,Jordan,MiddleSchool,G-06,English,71,70,65,69,Yes,Good,Under-7,M
M,Palestine,Jordan,MiddleSchool,G-06,English,75,71,76,80,Yes,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-04,Science,49,36,32,44,No,Bad,Above-7,L
F,Jordan,Jordan,lowerlevel,G-04,Science,42,24,12,24,No,Bad,Above-7,L
F,Palestine,Palestine,lowerlevel,G-04,Science,90,86,82,74,Yes,Good,Under-7,H
F,Palestine,Palestine,lowerlevel,G-04,Science,62,64,72,84,Yes,Good,Under-7,H
M,Iraq,Iraq,lowerlevel,G-04,Science,90,86,82,74,Yes,Good,Above-7,M
M,Iraq,Iraq,lowerlevel,G-04,Science,62,64,72,84,Yes,Good,Above-7,M
F,Jordan,Jordan,lowerlevel,G-04,Science,98,87,86,84,No,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-04,Science,72,74,82,89,No,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-04,Science,18,17,26,34,No,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-04,Science,32,14,32,29,No,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-04,Science,10,12,20,13,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-04,Science,22,34,15,9,No,Bad,Above-7,L
F,Jordan,Jordan,lowerlevel,G-04,Science,11,20,21,23,No,Bad,Under-7,M
F,Jordan,Jordan,lowerlevel,G-04,Science,12,44,25,39,No,Bad,Under-7,M
F,Jordan,Jordan,lowerlevel,G-04,Science,15,50,24,43,Yes,Bad,Under-7,M
F,Jordan,Jordan,lowerlevel,G-04,Science,32,44,29,89,Yes,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-04,Science,65,59,74,83,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-04,Science,72,64,59,89,Yes,Good,Under-7,H
M,Palestine,Jordan,lowerlevel,G-04,Science,95,57,74,89,Yes,Good,Above-7,M
M,Palestine,Jordan,lowerlevel,G-04,Science,82,84,79,79,Yes,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-04,Science,25,29,34,33,No,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-04,Science,42,34,29,39,No,Good,Above-7,M
F,Jordan,Jordan,lowerlevel,G-04,Science,55,79,44,43,Yes,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-04,Science,62,64,69,49,Yes,Good,Under-7,H
F,Jordan,lebanon,lowerlevel,G-04,Science,78,88,74,83,Yes,Good,Under-7,H
F,Jordan,lebanon,lowerlevel,G-04,Science,72,84,89,89,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,French,60,92,83,23,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,French,50,90,83,13,Yes,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,French,60,97,13,3,Yes,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,French,50,95,23,10,Yes,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,French,60,87,23,11,Yes,Good,Above-7,M
F,Jordan,Jordan,lowerlevel,G-02,French,50,80,20,15,Yes,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,French,10,15,10,21,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,French,30,10,20,5,No,Bad,Above-7,L
M,Syria,Syria,lowerlevel,G-02,French,24,35,18,31,No,Bad,Under-7,M
M,Syria,Syria,lowerlevel,G-02,French,27,20,33,35,No,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,French,10,15,10,21,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,French,30,10,20,5,No,Bad,Above-7,L
F,Jordan,Palestine,lowerlevel,G-02,French,80,77,63,83,Yes,Good,Under-7,M
F,Jordan,Palestine,lowerlevel,G-02,French,75,85,73,80,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,French,40,7,50,41,No,Good,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,French,35,2,29,33,No,Good,Above-7,L
F,Jordan,Jordan,lowerlevel,G-02,French,10,90,30,21,No,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,French,25,80,29,23,No,Good,Under-7,M
M,Lybia,Lybia,lowerlevel,G-02,French,10,8,9,3,No,Good,Above-7,L
M,Lybia,Lybia,lowerlevel,G-02,French,15,7,12,7,No,Good,Above-7,L
F,Palestine,Jordan,lowerlevel,G-02,French,70,90,20,21,No,Good,Under-7,M
F,Palestine,Jordan,lowerlevel,G-02,French,75,80,15,20,No,Good,Under-7,M
F,Palestine,Jordan,lowerlevel,G-02,French,78,98,10,11,No,Good,Under-7,M
F,Palestine,Jordan,lowerlevel,G-02,French,79,89,11,14,No,Good,Under-7,M
F,Iraq,Iraq,lowerlevel,G-02,French,16,90,15,11,No,Good,Under-7,M
F,Iraq,Iraq,lowerlevel,G-02,French,17,80,13,10,No,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,French,40,87,50,41,No,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,French,35,92,29,33,No,Bad,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,French,14,97,15,14,No,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,French,13,82,20,30,No,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,French,24,97,15,14,No,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,French,23,82,20,30,No,Good,Under-7,H
M,Lybia,Lybia,lowerlevel,G-02,French,20,3,9,3,No,Good,Above-7,L
M,Lybia,Lybia,lowerlevel,G-02,French,15,4,12,7,No,Good,Above-7,L
M,Egypt,Egypt,lowerlevel,G-02,French,5,13,6,6,No,Good,Above-7,L
M,Egypt,Egypt,lowerlevel,G-02,French,7,9,11,10,No,Good,Above-7,L
F,Jordan,Jordan,lowerlevel,G-02,French,10,94,40,11,Yes,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,French,25,89,21,13,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,French,30,98,42,21,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,French,35,97,41,23,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,French,32,88,32,25,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,French,25,87,21,27,Yes,Good,Under-7,M
F,lebanon,lebanon,lowerlevel,G-02,French,72,98,52,15,Yes,Good,Under-7,H
F,lebanon,lebanon,lowerlevel,G-02,French,75,90,51,17,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,Arabic,20,88,31,28,Yes,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,Arabic,10,98,41,38,Yes,Good,Above-7,M
M,Palestine,Jordan,lowerlevel,G-02,Arabic,90,98,41,38,Yes,Good,Under-7,H
M,Palestine,Jordan,lowerlevel,G-02,Arabic,80,88,51,39,Yes,Good,Under-7,H
M,Iraq,Iraq,lowerlevel,G-02,Arabic,80,95,21,28,Yes,Good,Under-7,H
M,Iraq,Iraq,lowerlevel,G-02,Arabic,78,70,31,29,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,Arabic,10,18,71,38,Yes,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,Arabic,10,58,51,48,Yes,Good,Above-7,M
F,Palestine,Jordan,lowerlevel,G-02,Arabic,98,88,60,31,No,Good,Under-7,H
F,Palestine,Jordan,lowerlevel,G-02,Arabic,75,81,51,34,No,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,Arabic,10,17,50,21,No,Bad,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,Arabic,35,2,29,23,No,Bad,Under-7,M
F,Jordan,Jordan,lowerlevel,G-02,Arabic,10,20,22,97,No,Bad,Above-7,L
F,Jordan,Jordan,lowerlevel,G-02,Arabic,5,9,19,98,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,Arabic,10,10,40,51,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,Arabic,35,2,29,23,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,Arabic,20,90,50,61,Yes,Bad,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,Arabic,32,82,59,63,Yes,Bad,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,Arabic,10,30,50,91,Yes,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,Arabic,12,22,59,83,Yes,Bad,Above-7,L
F,Jordan,Jordan,lowerlevel,G-02,Arabic,11,20,20,98,No,Bad,Above-7,L
F,Jordan,Jordan,lowerlevel,G-02,Arabic,10,12,29,93,No,Bad,Above-7,L
M,Iraq,Iraq,lowerlevel,G-02,Arabic,69,82,20,28,Yes,Good,Under-7,H
M,Iraq,Iraq,lowerlevel,G-02,Arabic,70,83,29,33,Yes,Good,Under-7,H
F,Iraq,Iraq,lowerlevel,G-02,Arabic,89,92,40,28,Yes,Good,Under-7,H
F,Iraq,Iraq,lowerlevel,G-02,Arabic,79,93,49,23,Yes,Good,Under-7,H
M,Jordan,Jordan,lowerlevel,G-02,Arabic,15,90,21,97,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,Arabic,20,77,31,88,Yes,Good,Under-7,M
M,Jordan,SaudiArabia,lowerlevel,G-02,Arabic,4,10,11,7,No,Good,Above-7,L
M,Jordan,SaudiArabia,lowerlevel,G-02,Arabic,5,0,1,8,No,Good,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-07,Biology,88,81,50,10,Yes,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-07,Biology,90,88,54,12,Yes,Good,Above-7,M
F,Iraq,Iraq,MiddleSchool,G-07,Biology,86,98,50,20,Yes,Good,Under-7,H
F,Iraq,Iraq,MiddleSchool,G-07,Biology,90,90,57,22,Yes,Good,Under-7,H
M,Jordan,Palestine,MiddleSchool,G-07,Biology,78,91,50,40,Yes,Good,Under-7,H
M,Jordan,Palestine,MiddleSchool,G-07,Biology,70,98,54,72,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-07,Biology,80,80,46,61,Yes,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,Biology,85,82,59,63,Yes,Bad,Under-7,M
M,Palestine,Palestine,MiddleSchool,G-07,Biology,88,90,86,81,Yes,Good,Under-7,H
M,Palestine,Palestine,MiddleSchool,G-07,Biology,89,92,89,83,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-07,Biology,39,71,40,26,No,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-07,Biology,35,80,34,22,No,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-07,Biology,76,81,80,86,No,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-07,Biology,65,89,64,82,No,Good,Under-7,H
F,Syria,Syria,MiddleSchool,G-07,Biology,96,95,70,70,Yes,Good,Under-7,H
F,Syria,Syria,MiddleSchool,G-07,Biology,80,91,87,72,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-07,Biology,2,9,10,1,No,Bad,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-07,Biology,3,8,19,3,No,Bad,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-07,Biology,50,79,10,31,No,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-07,Biology,53,88,9,33,No,Bad,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-07,Biology,70,89,12,21,No,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-07,Biology,59,90,19,43,No,Good,Under-7,H
M,Palestine,Jordan,MiddleSchool,G-07,Biology,78,80,66,51,Yes,Good,Under-7,M
M,Palestine,Jordan,MiddleSchool,G-07,Biology,79,72,79,83,Yes,Good,Under-7,M
F,Lybia,Lybia,MiddleSchool,G-07,Biology,10,9,2,1,No,Good,Above-7,L
F,Lybia,Lybia,MiddleSchool,G-07,Biology,9,7,9,3,No,Good,Above-7,L
M,Iraq,Iraq,MiddleSchool,G-07,Biology,98,90,86,71,Yes,Good,Under-7,H
M,Iraq,Iraq,MiddleSchool,G-07,Biology,89,92,89,83,Yes,Good,Under-7,H
M,Palestine,Jordan,MiddleSchool,G-07,Biology,88,90,76,81,Yes,Good,Under-7,H
M,Palestine,Jordan,MiddleSchool,G-07,Biology,99,96,89,84,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,Chemistry,82,89,22,31,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,Chemistry,84,92,29,43,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,Geology,70,69,46,45,Yes,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-08,Geology,74,62,49,43,Yes,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-08,Geology,90,79,76,79,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,Geology,84,77,79,68,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,Chemistry,80,80,62,11,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-08,Chemistry,81,82,69,13,Yes,Good,Above-7,M
M,Jordan,SaudiArabia,MiddleSchool,G-08,Chemistry,10,0,2,41,No,Bad,Above-7,L
M,Jordan,SaudiArabia,MiddleSchool,G-08,Chemistry,11,2,9,49,No,Bad,Above-7,L
M,Jordan,SaudiArabia,MiddleSchool,G-08,Geology,85,89,22,61,No,Bad,Under-7,H
M,Jordan,SaudiArabia,MiddleSchool,G-08,Geology,80,89,23,68,No,Bad,Under-7,H
M,Jordan,SaudiArabia,MiddleSchool,G-08,Geology,95,87,62,81,No,Bad,Under-7,M
M,Jordan,SaudiArabia,MiddleSchool,G-08,Geology,87,79,73,98,No,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,Chemistry,85,87,72,10,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-08,Chemistry,79,88,79,20,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-08,Geology,80,81,71,30,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,Geology,70,83,70,23,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,Chemistry,80,82,76,19,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,Chemistry,70,82,75,29,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,Geology,89,87,86,15,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,Geology,90,86,85,10,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,History,69,77,76,75,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-08,History,70,76,65,70,Yes,Good,Above-7,M
M,Jordan,Jordan,MiddleSchool,G-08,Chemistry,75,72,64,39,Yes,Good,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-08,Chemistry,72,76,66,40,Yes,Good,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-08,Geology,77,82,74,79,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,Geology,71,84,67,80,Yes,Good,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,History,87,92,74,89,Yes,Good,Under-7,H
M,Jordan,Jordan,MiddleSchool,G-08,History,81,84,77,85,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,Chemistry,15,97,22,10,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,Chemistry,19,98,20,2,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,Geology,25,82,52,20,Yes,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-08,Geology,29,78,40,12,Yes,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-08,History,45,87,57,80,Yes,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,History,39,88,43,72,Yes,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,Chemistry,85,90,52,30,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,Chemistry,79,91,49,22,Yes,Good,Under-7,H
M,Iraq,Iraq,MiddleSchool,G-08,Chemistry,90,91,80,81,Yes,Good,Under-7,H
M,Iraq,Iraq,MiddleSchool,G-08,Chemistry,80,90,80,83,Yes,Good,Under-7,H
M,Iraq,Iraq,MiddleSchool,G-08,Geology,80,83,82,71,Yes,Good,Above-7,M
M,Iraq,Iraq,MiddleSchool,G-08,Geology,71,81,83,72,Yes,Good,Above-7,M
M,Iraq,Iraq,MiddleSchool,G-08,History,72,87,72,89,Yes,Good,Above-7,M
M,Iraq,Iraq,MiddleSchool,G-08,History,69,77,83,92,Yes,Good,Above-7,M
F,Jordan,Jordan,MiddleSchool,G-08,Chemistry,85,99,42,90,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,Chemistry,89,96,45,92,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,Geology,80,82,64,58,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,Geology,87,93,63,60,Yes,Good,Under-7,H
F,Jordan,Jordan,MiddleSchool,G-08,Chemistry,15,9,14,80,No,Bad,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-08,Chemistry,9,6,15,85,No,Bad,Above-7,L
M,Palestine,Jordan,MiddleSchool,G-08,History,81,86,86,41,Yes,Good,Under-7,M
M,Palestine,Jordan,MiddleSchool,G-08,History,78,82,78,53,Yes,Good,Under-7,M
M,Palestine,Palestine,MiddleSchool,G-08,Geology,80,87,74,68,Yes,Good,Under-7,M
M,Palestine,Palestine,MiddleSchool,G-08,Geology,85,88,79,70,Yes,Good,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,Chemistry,2,7,4,8,No,Bad,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-08,Chemistry,5,4,5,8,No,Bad,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-08,Geology,50,77,14,28,No,Bad,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,Geology,55,74,25,29,No,Bad,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-08,History,30,17,14,57,No,Bad,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-08,History,35,14,23,62,No,Bad,Above-7,L
